,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
193,秋田県,5,0.5645,2020/6/30,0,0,0,0,20.9,3,359000,966000,1163752,1,0,0
194,山形県,6,0.5098,2020/6/30,0,0,0,0,22.1,2.4,360000,1078000,932315,1,0.0927643784786642,0
195,福島県,7,0.5887,2020/6/30,0,0,0.0541711809317443,0,22.4,2.5,582000,1846000,1378390,1,0.433369447453955,0
196,茨城県,8,0.4913,2020/6/30,0,0,0.20979020979021,0,22,2.5,843000,2860000,609739,5,0.174825174825175,0.104895104895105
197,栃木県,9,0.5129,2020/6/30,0,1,0.723888314374354,0,22.5,2.5,554000,1934000,640809,3,0.568769389865564,0
198,群馬県,10,0.612,2020/6/30,0,0,0.205973223480947,0,23.5,2.1,580000,1942000,636228,3,0.154479917610711,0.154479917610711
199,埼玉県,11,0.6124,2020/6/30,0,1,1.75510204081633,0.231292517006803,23.6,3.1,1961000,7350000,379775,19,1.91836734693878,0.19047619047619
200,千葉県,12,0.5855,2020/6/30,0,1,0.942642594663684,0,23.4,2.8,1743000,6259000,515760,12,1.02252756031315,0.207700910688608
201,東京都,13,0.4708,2020/6/30,0,1,7.14029164571511,0.143667839954026,23.2,3.2,3209000,13921000,219407,63,6.87450614180016,1.32892751957474
202,神奈川県,14,0.6775,2020/6/30,0,1,1.44596651445967,0.108719286801479,23.4,3.1,2329000,9198000,241630,38,3.73994346597086,0.565340291367689
203,山梨県,19,0.6089,2020/6/30,0,0,1.23304562268804,0,23.5,2.2,250000,811000,446527,2,1.35635018495684,0.123304562268804
